硬い,かたい,Tough. Hard. Solid,,Wonder Egg Priority,Wonder Egg Priority
傷,きず,Wound. Injury.,,Wonder Egg Priority,Wonder Egg Priority
不死身,ふじみ,immortality. invulnerability. insensitivity to pain,,Wonder Egg Priority,Wonder Egg Priority
親友,しんゆう,intimate friend. bosom buddy.,,Wonder Egg Priority,Wonder Egg Priority
教わる,おそわる,to be taught. to learn. to take lessons in.,,Wonder Egg Priority,Wonder Egg Priority
ブス,ぶす,extremely ugly woman,,Wonder Egg Priority,Wonder Egg Priority
神秘的,しんぴてき,mysterious. mystical.,,Wonder Egg Priority,Wonder Egg Priority
裏切る,うらぎる,to betray. to double-cross.,,Wonder Egg Priority,Wonder Egg Priority
お終い,おしまい,closing. the end. done for.,,Wonder Egg Priority,Wonder Egg Priority
仕舞い,じまい,closing. ending before one had the time to do something one wanted to do.,,Wonder Egg Priority,Wonder Egg Priority
楽にする,らくにする,to relax. to make oneself comfortable.,,Wonder Egg Priority,Wonder Egg Priority
黙る,だまる,to be silent. to say nothing.,,Wonder Egg Priority,Wonder Egg Priority
妊娠,にんしん,conception. pregnancy,,Wonder Egg Priority,Wonder Egg Priority
恨む,うらむ,to bear a grudge against. to resent. to blame.,,Wonder Egg Priority,Wonder Egg Priority
取り取り,とりどり,various,,Wonder Egg Priority,Wonder Egg Priority
意地の,いじの,stubbornness. willpower. pride.,,Wonder Egg Priority,Wonder Egg Priority
いざさらば,いざさらば,"well then, shall we… goodbye.",,Wonder Egg Priority,Wonder Egg Priority
連絡先,れんらくさき,contact address.,,Wonder Egg Priority,Wonder Egg Priority
倒す,たおす,to bring down. to fell. to knock something down.,,Wonder Egg Priority,Wonder Egg Priority
ほっとく,ほっとく,to leave alone. to leave as is. to ignore. to neglect.,,Wonder Egg Priority,Wonder Egg Priority
恐怖,きょうふ,fear. dread. dismay. terror,,Wonder Egg Priority,Wonder Egg Priority
たまには,たまには,once in a while,,Wonder Egg Priority,Wonder Egg Priority
雑巾,ぞうきん,house cloth. dust-cloth,,Wonder Egg Priority,Wonder Egg Priority
カサカサ,かさかさ,dry and rough. desiccated. ,,Wonder Egg Priority,Wonder Egg Priority
同期,どうき,same period. corresponding period,,Wonder Egg Priority,Wonder Egg Priority
劣化する,れっかする,deterioration. drop in quality.,,Wonder Egg Priority,Wonder Egg Priority
自殺,じさつ,suicide,,Wonder Egg Priority,Wonder Egg Priority
残酷,ざんこく,cruel. brutal. ruthless. merciless.,,Wonder Egg Priority,Wonder Egg Priority
思春,ししゅん,puberty. adolescence.,,Wonder Egg Priority,Wonder Egg Priority
反抗期,はんこうき,rebellious phase. rebellious age.,,Wonder Egg Priority,Wonder Egg Priority
エル,える,lesbian,,Wonder Egg Priority,Wonder Egg Priority
有価,ゆうか,valuable object,,Wonder Egg Priority,Wonder Egg Priority
そんなの,そんなの,implies you think something is garbage.,,Wonder Egg Priority,Wonder Egg Priority
栄誉賞,えいよし,honor. award.,,Wonder Egg Priority,Wonder Egg Priority
一人暮らし,ひとりぐらし,living by oneself. living alone.,,Wonder Egg Priority,Wonder Egg Priority
前向き,まえむき,forward-facing. positive. constructive.,,Wonder Egg Priority,Wonder Egg Priority
無能,むのう,incompetence. inefficiency. inability.,,Wonder Egg Priority,Wonder Egg Priority
苛め,いじめ,bullying. teasing.,,Wonder Egg Priority,Wonder Egg Priority
誘惑,ゆうわく,temptation. allurement. seduction.,,Wonder Egg Priority,Wonder Egg Priority
あどけない,あどけない,innocent. cherubic,,Wonder Egg Priority,Wonder Egg Priority
再生,さいせい,regeneration. restoration. restoration to life.,,Wonder Egg Priority,Wonder Egg Priority
入れ物,いれもの,container. case. receptacle. ,,Wonder Egg Priority,Wonder Egg Priority
鈍く,にぶく,slow. clumsy. stupid. irritating. ,,Wonder Egg Priority,Wonder Egg Priority
鑑賞,かんしょう,"appreciation (of art, music, poetry)",,Wonder Egg Priority,Wonder Egg Priority
知らずに,しらずに,unknowingly.,,Wonder Egg Priority,Wonder Egg Priority
創面,そうめん,surface of a wound,,Wonder Egg Priority,Wonder Egg Priority
欠点,けってん,flaw. weakness. weak point.,,Wonder Egg Priority,Wonder Egg Priority
想像,そうぞう,imagination. guess. ,,Wonder Egg Priority,Wonder Egg Priority
監視,かんし,monitoring. watching observance. surveillance.,,Wonder Egg Priority,Wonder Egg Priority
論文,ろんぶん,thesis. essay. treatise. paper. article.,,Wonder Egg Priority,Wonder Egg Priority
飲酒,いんしゅ,drinking alcohol,,Wonder Egg Priority,Wonder Egg Priority
憎む,にくむ,to hate. to detest.,,Wonder Egg Priority,Wonder Egg Priority
祝福,しゅくふく,blessing,,Wonder Egg Priority,Wonder Egg Priority
忙殺,ぼうさつ,being extremely busy. being swamped with work.,,Wonder Egg Priority,Wonder Egg Priority
それ共,それとも,or. or else. ,,Wonder Egg Priority,Wonder Egg Priority
はっきり,はっきり,clearly. plainly. distinctly,,Wonder Egg Priority,Wonder Egg Priority
分析,ぶんせき,analysis.,,Wonder Egg Priority,Wonder Egg Priority
虹彩異色症,こうさいいしょくしょう,heterochromia. eyes differing in color.,,Wonder Egg Priority,Wonder Egg Priority
